x,y,z,res
95,148,138,41091.35072
166,178,106,158421.8391
123,169,193,49897.72745
147,84,171,20180.60868
16,176,23,5928291.572
163,90,131,29160.86273
144,100,194,24111.57762
82,29,78,3448.897691
58,79,145,7900.793285
6,164,137,3257.470292
155,129,35,797272.5004
53,109,55,41917.47057
75,39,81,4734.025805
109,56,128,9454.060143
84,28,125,2942.519038
94,70,159,10219.38409
148,40,187,7331.940334
140,8,1,3338672.945
44,128,10,2040008676
197,79,29,237230.9723
26,38,8,114197.2731
66,13,79,1011.471076
171,134,36,947635.8459
12,168,2,6.09856E+39
127,130,122,47920.33902
104,178,50,650941.1056
79,50,8,2046150.657
139,61,127,13707.01135
175,138,38,912203.7064
128,41,53,11375.15917
65,120,191,14620.08086
68,167,148,35097.31448
51,47,76,4448.820514
68,69,161,7202.515639
168,149,132,77396.60257
102,1,40,104.5821423
124,190,115,122943.4227
86,107,91,29821.95978
78,169,15,1030463160
96,55,178,7191.608511
63,174,101,61387.54865
110,167,196,43067.11512
109,113,53,103861.2521
101,172,70,202755.8553
105,20,8,25583.23732
74,62,157,6809.704028
26,84,131,4146.976158
52,35,63,3172.094378
135,6,13,1285.075447
165,180,5,1.28044E+20
159,110,153,35894.48051
59,123,33,301641.5065
172,199,121,177269.6681
162,146,180,53226.62755
119,85,123,20187.758
67,46,111,4664.558325
117,164,195,44492.05904
15,99,144,2953.275142
118,161,97,99895.78823
54,77,70,12491.32233
99,90,91,23955.19548
160,111,103,52175.79241
13,135,186,3626.52652
77,182,189,36708.92057
79,133,181,21907.92255
141,21,143,3429.382432
1,192,129,850.5366175
61,158,160,25873.35354
135,8,137,1144.943398
168,115,103,59006.38646
20,94,106,4563.382978
131,127,140,41213.75203
16,67,119,1882.406992
85,6,22,669.9063982
1,26,34,55.85742267
11,76,182,1269.287541
189,190,155,122342.2273
79,168,174,34854.20515
119,52,3,208603372153
119,171,164,57726.40517
22,108,19,698984.7519
30,79,171,3761.727372
118,161,155,53680.15542
36,164,25,4169828.085
69,111,28,403496.2287
37,188,162,22200.13619
63,48,179,3954.036211
120,1,191,120.6299198
67,49,185,4278.585667
176,169,1,7.39889E+77
