x,y,z,res
1,2,3,3.895468082
2,4,9,12.47698798
3,6,27,22.47927964
4,8,37,39.72386414
5,10,49,61.31991318
6,12,61,87.6531396
7,14,73,118.7176875
8,16,85,154.5110412
9,18,97,195.0319411
10,20,109,240.2796865
11,22,121,290.2538567
12,24,133,344.9541839
13,26,145,404.3804895
14,28,157,468.5326496
15,30,169,537.4105759
16,32,181,611.0142035
17,34,193,689.3434837
18,36,205,772.3983794
19,38,217,860.1788616
20,40,229,952.6849075
21,42,241,1049.916499
22,44,253,1151.87362
23,46,265,1258.556261
24,48,277,1369.964409
25,50,289,1486.098058
26,52,301,1606.9572
27,54,313,1732.541829
28,56,325,1862.85194
29,58,337,1997.887528
30,60,349,2137.648591
31,62,361,2282.135125
32,64,373,2431.347126
33,66,385,2585.284593
34,68,397,2743.947523
35,70,409,2907.335915
36,72,421,3075.449767
37,74,433,3248.289076
38,76,445,3425.853843
39,78,457,3608.144065
40,80,469,3795.159742
41,82,481,3986.900873
42,84,493,4183.367456
43,86,505,4384.559491
44,88,517,4590.476978
45,90,529,4801.119915
46,92,541,5016.488302
47,94,553,5236.582138
48,96,565,5461.401424
49,98,577,5690.946158
50,100,589,5925.21634
51,102,601,6164.211969
52,104,613,6407.933046
53,106,625,6656.37957
54,108,637,6909.551541
55,110,649,7167.448958
56,112,661,7430.071822
57,114,673,7697.420131
58,116,685,7969.493886
59,118,697,8246.293086
60,120,709,8527.817732
61,122,721,8814.067823
62,124,733,9105.043358
63,126,745,9400.744339
64,128,757,9701.170764
65,130,769,10006.32263
66,132,781,10316.19995
67,134,793,10630.80271
68,136,805,10950.13091
69,138,817,11274.18455
70,140,829,11602.96365
71,142,841,11936.46818
72,144,853,12274.69816
73,146,865,12617.65358
74,148,877,12965.33444
75,150,889,13317.74075
76,152,901,13674.8725
77,154,913,14036.7297
78,156,925,14403.31234
79,158,937,14774.62042
80,160,949,15150.65394
81,162,961,15531.41291
82,164,973,15916.89732
83,166,985,16307.10718
84,168,997,16702.04247
85,170,1009,17101.70321
86,172,1021,17506.0894
87,174,1033,17915.20102
88,176,1045,18329.03809
89,178,1057,18747.6006
90,180,1069,19170.88856
91,182,1081,19598.90195
92,184,1093,20031.64079
93,186,1105,20469.10507
94,188,1117,20911.2948
95,190,1129,21358.20996
96,192,1141,21809.85057
97,194,1153,22266.21662
98,196,1165,22727.30812
99,198,1177,23193.12505
100,200,1189,23663.66743
101,202,1201,24138.93526
102,204,1213,24618.92852
103,206,1225,25103.64722
104,208,1237,25593.09137
105,210,1249,26087.26096
106,212,1261,26586.156
107,214,1273,27089.77647
108,216,1285,27598.12239
109,218,1297,28111.19375
110,220,1309,28628.99055
111,222,1321,29151.5128
112,224,1333,29678.76048
113,226,1345,30210.73361
114,228,1357,30747.43218
115,230,1369,31288.85619
116,232,1381,31835.00565
117,234,1393,32385.88055
118,236,1405,32941.48088
119,238,1417,33501.80667
120,240,1429,34066.85789
121,242,1441,34636.63455
122,244,1453,35211.13666
123,246,1465,35790.36421
124,248,1477,36374.3172
125,250,1489,36962.99564
126,252,1501,37556.39951
127,254,1513,38154.52883
128,256,1525,38757.38359
