x,y,z,res
1,2,3,0
2,4,9,1.408480364
3,6,27,1.567645648
4,8,37,1.868449164
5,10,49,2.083613863
6,12,61,2.261125342
7,14,73,2.412181173
8,16,85,2.543650051
9,18,97,2.66003705
10,20,109,2.764453829
11,22,121,2.859138858
12,24,133,2.945756002
13,26,145,3.02557566
14,28,157,3.099589776
15,30,169,3.1685877
16,32,181,3.233207866
17,34,193,3.293973976
18,36,205,3.351320954
19,38,217,3.405613951
20,40,229,3.45716252
21,42,241,3.506231365
22,44,253,3.553048614
23,46,265,3.597812261
24,48,277,3.640695258
25,50,289,3.681849565
26,52,301,3.72140942
27,54,313,3.759493996
28,56,325,3.796209568
29,58,337,3.831651318
30,60,349,3.865904824
31,62,361,3.899047313
32,64,373,3.931148712
33,66,385,3.962272542
34,68,397,3.992476676
35,70,409,4.021813992
36,72,421,4.05033293
37,74,433,4.078077979
38,76,445,4.10509009
39,78,457,4.131407045
40,80,469,4.157063778
41,82,481,4.182092648
42,84,493,4.206523695
43,86,505,4.230384847
44,88,517,4.253702122
45,90,529,4.276499791
46,92,541,4.298800537
47,94,553,4.320625589
48,96,565,4.34199484
49,98,577,4.362926962
50,100,589,4.383439502
51,102,601,4.403548969
52,104,613,4.423270918
53,106,625,4.442620017
54,108,637,4.461610119
55,110,649,4.480254317
56,112,661,4.498565001
57,114,673,4.516553904
58,116,685,4.534232154
59,118,697,4.551610309
60,120,709,4.568698397
61,122,721,4.585505953
62,124,733,4.602042047
63,126,745,4.618315318
64,128,757,4.634333998
65,130,769,4.650105937
66,132,781,4.665638629
67,134,793,4.680939229
68,136,805,4.696014579
69,138,817,4.710871221
70,140,829,4.725515414
71,142,841,4.739953155
72,144,853,4.754190189
73,146,865,4.768232024
74,148,877,4.782083945
75,150,889,4.795751026
76,152,901,4.809238138
77,154,913,4.822549963
78,156,925,4.835691003
79,158,937,4.848665588
80,160,949,4.861477885
81,162,961,4.874131908
82,164,973,4.886631522
83,166,985,4.898980452
84,168,997,4.911182292
85,170,1009,4.923240507
86,172,1021,4.935158442
87,174,1033,4.946939324
88,176,1045,4.958586272
89,178,1057,4.970102301
90,180,1069,4.981490322
91,182,1081,4.992753152
92,184,1093,5.003893516
93,186,1105,5.014914049
94,188,1117,5.025817305
95,190,1129,5.036605755
96,192,1141,5.047281792
97,194,1153,5.057847738
98,196,1165,5.06830584
99,198,1177,5.07865828
100,200,1189,5.088907172
101,202,1201,5.099054569
102,204,1213,5.109102463
103,206,1225,5.119052787
104,208,1237,5.128907419
105,210,1249,5.138668184
106,212,1261,5.148336854
107,214,1273,5.157915151
108,216,1285,5.16740475
109,218,1297,5.17680728
110,220,1309,5.186124326
111,222,1321,5.195357428
112,224,1333,5.204508087
113,226,1345,5.213577762
114,228,1357,5.222567875
115,230,1369,5.231479811
116,232,1381,5.240314919
117,234,1393,5.249074513
118,236,1405,5.257759872
119,238,1417,5.266372247
120,240,1429,5.274912852
121,242,1441,5.283382877
122,244,1453,5.291783478
123,246,1465,5.300115784
124,248,1477,5.308380898
125,250,1489,5.316579896
126,252,1501,5.324713826
127,254,1513,5.332783715
128,256,1525,5.340790564
129,258,1537,5.34873535
130,260,1549,5.356619029
131,262,1561,5.364442533
132,264,1573,5.372206776
133,266,1585,5.379912648
134,268,1597,5.38756102
135,270,1609,5.395152747
136,272,1621,5.402688659
137,274,1633,5.410169573
138,276,1645,5.417596287
139,278,1657,5.424969579
140,280,1669,5.432290214
141,282,1681,5.439558938
142,284,1693,5.446776483
143,286,1705,5.453943566
144,288,1717,5.461060886
145,290,1729,5.468129131
146,292,1741,5.475148974
147,294,1753,5.482121072
148,296,1765,5.489046071
149,298,1777,5.495924604
150,300,1789,5.502757289
151,302,1801,5.509544736
152,304,1813,5.516287539
153,306,1825,5.522986281
154,308,1837,5.529641535
155,310,1849,5.536253863
156,312,1861,5.542823814
157,314,1873,5.549351929
158,316,1885,5.555838738
159,318,1897,5.562284759
160,320,1909,5.568690504
161,322,1921,5.575056471
162,324,1933,5.581383154
163,326,1945,5.587671033
164,328,1957,5.593920581
165,330,1969,5.600132265
166,332,1981,5.606306539
167,334,1993,5.612443852
168,336,2005,5.618544644
169,338,2017,5.624609348
170,340,2029,5.630638387
171,342,2041,5.636632179
172,344,2053,5.642591135
173,346,2065,5.648515656
174,348,2077,5.654406138
175,350,2089,5.660262971
176,352,2101,5.666086537
177,354,2113,5.671877212
178,356,2125,5.677635366
179,358,2137,5.683361361
180,360,2149,5.689055556
181,362,2161,5.694718301
182,364,2173,5.700349943
183,366,2185,5.705950821
184,368,2197,5.711521269
185,370,2209,5.717061617
186,372,2221,5.722572189
187,374,2233,5.728053302
188,376,2245,5.73350527
189,378,2257,5.738928402
190,380,2269,5.744323001
191,382,2281,5.749689366
192,384,2293,5.755027791
193,386,2305,5.760338565
194,388,2317,5.765621974
195,390,2329,5.770878298
196,392,2341,5.776107814
197,394,2353,5.781310794
198,396,2365,5.786487506
199,398,2377,5.791638213
200,400,2389,5.796763177
201,402,2401,5.801862652
202,404,2413,5.806936892
203,406,2425,5.811986145
204,408,2437,5.817010656
205,410,2449,5.822010666
206,412,2461,5.826986414
207,414,2473,5.831938133
208,416,2485,5.836866054
209,418,2497,5.841770407
210,420,2509,5.846651414
211,422,2521,5.851509297
212,424,2533,5.856344274
213,426,2545,5.861156561
214,428,2557,5.865946369
215,430,2569,5.870713908
216,432,2581,5.875459383
217,434,2593,5.880182998
218,436,2605,5.884884954
219,438,2617,5.889565448
220,440,2629,5.894224676
221,442,2641,5.898862829
222,444,2653,5.903480098
223,446,2665,5.90807667
224,448,2677,5.91265273
225,450,2689,5.91720846
226,452,2701,5.92174404
227,454,2713,5.926259647
228,456,2725,5.930755457
229,458,2737,5.935231643
230,460,2749,5.939688375
231,462,2761,5.944125821
232,464,2773,5.948544149
233,466,2785,5.952943521
234,468,2797,5.9573241
235,470,2809,5.961686046
236,472,2821,5.966029517
237,474,2833,5.970354668
238,476,2845,5.974661654
239,478,2857,5.978950627
240,480,2869,5.983221736
241,482,2881,5.98747513
242,484,2893,5.991710955
243,486,2905,5.995929357
244,488,2917,6.000130477
245,490,2929,6.004314456
246,492,2941,6.008481435
247,494,2953,6.01263155
248,496,2965,6.016764938
249,498,2977,6.020881733
250,500,2989,6.024982068
251,502,3001,6.029066073
252,504,3013,6.033133879
253,506,3025,6.037185614
254,508,3037,6.041221403
255,510,3049,6.045241373
