x,y,z,res
19,12,1,11
0,13,3,14
19,12,16,20
0,16,8,4
0,16,13,1
8,13,20,16
16,17,13,15
1,13,11,17
11,0,1,2
2,3,13,18
14,13,4,9
9,6,20,13
13,1,14,16
13,15,10,4
0,1,6,7
11,4,6,6
9,7,20,13
11,19,5,11
9,0,0,12
2,20,12,12
12,12,4,20
11,19,5,8
16,11,15,10
6,0,14,16
9,0,20,8
2,13,1,4
20,19,3,13
9,13,18,8
3,8,17,9
16,11,8,20
20,0,19,10
5,20,1,7
20,0,18,6
4,4,4,3
17,13,7,16
12,5,16,9
12,3,6,17
8,5,0,5
7,14,9,14
15,18,19,17
2,2,2,7
16,10,10,5
15,17,0,14
3,18,12,16
15,8,1,18
11,16,8,9
17,9,16,1
9,8,19,14
3,19,4,6
3,17,19,20
2,16,6,19
0,8,19,8
6,17,15,1
14,13,0,4
18,2,18,14
10,4,17,17
15,15,11,0
4,15,14,16
3,9,17,5
17,20,5,5
13,3,15,17
20,2,0,12
10,15,13,8
2,10,8,12
13,3,2,7
9,10,4,0
3,19,17,1
18,12,13,8
4,6,8,15
0,19,19,10
12,2,1,13
3,10,5,14
4,1,5,0
3,12,11,0
11,6,15,12
15,13,7,11
18,0,4,11
2,10,10,9
7,10,11,14
4,0,13,17
10,14,17,8
12,5,18,18
0,12,13,16
16,7,11,18
8,0,13,20
5,3,20,14
5,7,10,9
3,17,19,4
10,4,11,6
19,8,11,20
0,11,2,3
11,2,1,10
8,16,18,11
6,3,1,6
17,3,2,5
8,19,1,0
6,18,13,9
13,12,4,17
3,8,3,12
19,8,19,7
13,16,14,9
12,18,1,6
1,2,2,18
2,19,19,7
0,7,18,9
14,17,7,15
20,17,3,1
19,6,8,11
11,8,16,0
6,16,10,17
18,15,13,8
16,13,16,15
8,1,10,12
20,9,5,19
19,16,15,3
1,3,4,20
5,11,11,10
3,14,16,0
7,10,20,16
3,19,10,19
10,15,20,1
0,2,2,2
11,0,4,18
6,16,17,17
1,15,10,14
8,5,7,6
16,18,2,5
8,18,0,1
1,10,3,1
14,5,16,4
14,17,7,13
17,5,10,18
11,12,1,8
9,13,1,9
11,4,3,8
7,20,17,16
18,14,12,1
13,12,12,18
11,15,11,16
9,16,0,11
5,18,14,10
6,6,9,10
8,14,12,12
3,5,18,6
15,1,20,18
3,15,6,13
19,7,13,19
8,9,16,12
15,2,3,0
7,20,13,15
14,14,12,2
0,4,15,7
17,9,0,7
17,8,7,10
0,4,3,2
11,7,13,9
16,1,17,15
5,20,4,9
2,8,20,14
19,0,12,18
6,19,2,6
13,19,15,14
1,7,9,6
8,13,6,14
18,0,0,1
14,19,2,10
20,0,1,0
17,19,11,19
3,1,11,16
12,12,10,4
4,11,16,0
1,2,8,7
18,9,14,20
16,19,17,13
11,18,19,15
20,10,20,10
7,7,13,17
0,1,10,0
7,5,8,13
11,8,13,2
0,19,3,5
20,6,20,18
15,13,19,0
11,4,19,19
15,1,19,19
14,19,14,5
8,1,16,12
4,20,8,15
11,17,20,8
11,15,20,0
0,1,3,16
11,17,18,7
8,13,16,11
7,5,4,6
1,8,9,3
1,10,1,11
7,13,14,6
0,10,2,14
15,5,0,15
18,3,18,1
12,5,0,20
9,12,14,9
0,16,15,2
15,9,7,8
14,9,16,16
19,15,12,4
12,1,15,16
16,14,12,17
10,10,6,4
1,6,7,17
4,0,8,16
2,0,5,4
14,14,0,1
1,10,7,15
14,14,17,3
20,3,16,16
5,2,4,9
7,10,14,20
16,11,11,19
11,12,7,4
7,1,4,4
