x,y,z,res
1,2,3,4.038525841
2,4,9,9.953002854
3,6,27,21.0528949
4,8,37,28.45044641
5,10,49,36.5916356
6,12,61,44.71152104
7,14,73,52.81964976
8,16,85,60.92054437
9,18,97,69.01663885
10,20,109,77.1093664
11,22,121,85.1996295
12,24,133,93.28802681
13,26,145,101.3749724
14,28,157,109.4607624
15,30,169,117.545615
16,32,181,125.6296947
17,34,193,133.7131281
18,36,205,141.7960144
19,38,217,149.8784327
20,40,229,157.9604468
21,42,241,166.0421087
22,44,253,174.1234617
23,46,265,182.2045416
24,48,277,190.2853787
25,50,289,198.3659987
26,52,301,206.4464235
27,54,313,214.5266723
28,56,325,222.6067612
29,58,337,230.6867047
30,60,349,238.7665152
31,62,361,246.8462038
32,64,373,254.9257802
33,66,385,263.0052531
34,68,397,271.0846303
35,70,409,279.1639187
36,72,421,287.2431245
37,74,433,295.3222533
38,76,445,303.4013101
39,78,457,311.4802997
40,80,469,319.5592261
41,82,481,327.6380933
42,84,493,335.7169046
43,86,505,343.7956633
44,88,517,351.8743723
45,90,529,359.9530344
46,92,541,368.031652
47,94,553,376.1102275
48,96,565,384.1887629
49,98,577,392.2672603
50,100,589,400.3457215
51,102,601,408.4241482
52,104,613,416.502542
53,106,625,424.5809044
54,108,637,432.6592368
55,110,649,440.7375405
56,112,661,448.8158168
57,114,673,456.8940667
58,116,685,464.9722914
59,118,697,473.0504918
60,120,709,481.128669
61,122,721,489.2068238
62,124,733,497.2849571
63,126,745,505.3630696
64,128,757,513.4411622
65,130,769,521.5192356
66,132,781,529.5972905
67,134,793,537.6753274
68,136,805,545.753347
69,138,817,553.83135
70,140,829,561.9093368
71,142,841,569.9873079
72,144,853,578.065264
73,146,865,586.1432054
74,148,877,594.2211327
75,150,889,602.2990462
76,152,901,610.3769464
77,154,913,618.4548336
78,156,925,626.5327083
79,158,937,634.6105709
80,160,949,642.6884216
81,162,961,650.7662608
82,164,973,658.8440888
83,166,985,666.921906
84,168,997,674.9997126
85,170,1009,683.077509
86,172,1021,691.1552953
87,174,1033,699.2330718
88,176,1045,707.3108389
89,178,1057,715.3885967
90,180,1069,723.4663455
91,182,1081,731.5440855
92,184,1093,739.6218169
93,186,1105,747.6995399
94,188,1117,755.7772548
95,190,1129,763.8549617
96,192,1141,771.9326608
97,194,1153,780.0103523
98,196,1165,788.0880363
99,198,1177,796.1657131
100,200,1189,804.2433828
101,202,1201,812.3210456
102,204,1213,820.3987015
103,206,1225,828.4763508
104,208,1237,836.5539936
105,210,1249,844.6316301
106,212,1261,852.7092603
107,214,1273,860.7868844
108,216,1285,868.8645026
109,218,1297,876.9421149
110,220,1309,885.0197214
111,222,1321,893.0973224
112,224,1333,901.1749178
113,226,1345,909.2525079
114,228,1357,917.3300927
115,230,1369,925.4076722
116,232,1381,933.4852467
117,234,1393,941.5628162
118,236,1405,949.6403808
119,238,1417,957.7179406
120,240,1429,965.7954956
121,242,1441,973.8730461
122,244,1453,981.9505919
123,246,1465,990.0281333
124,248,1477,998.1056704
125,250,1489,1006.183203
126,252,1501,1014.260732
127,254,1513,1022.338256
128,256,1525,1030.415776
