x,y,z,res
6,9,2,-0.3521825181
47,12,67,39.725413
23,5,50,33.13789158
49,18,43,18.70171372
82,23,56,30.91681692
12,33,43,-18.89130583
44,44,65,0
62,24,88,36.27187941
78,22,67,36.82801877
23,48,73,-23.3244783
66,36,45,11.84586456
40,23,6,1.441992932
16,50,63,-31.17555137
89,26,49,26.18641628
66,11,83,64.58655378
91,31,5,2.338398492
79,43,87,22.98180131
89,16,61,45.46147146
60,53,62,3.340273609
17,58,71,-37.84151413
40,78,66,-19.14228435
36,90,47,-18.70318041
20,25,26,-2.519660338
25,52,67,-21.31024344
89,59,73,13.03327364
11,81,79,-68.50029436
66,53,89,8.478857869
10,99,91,-90.60280271
21,88,49,-30.49090549
31,30,30,0.4272131734
38,84,53,-18.25827154
20,3,65,53.55406816
92,88,45,0.8687319838
10,4,87,34.62078075
55,82,40,-6.938046516
99,35,25,11.28917876
94,98,94,-1.701232877
4,31,25,-22.23254256
25,94,32,-18.40601104
27,40,68,-11.60734345
65,72,99,-4.397494839
100,32,34,16.82490074
96,2,40,67.2496495
61,99,47,-9.884351901
89,89,99,0
70,46,81,14.76955687
96,68,7,1.048336242
43,77,52,-13.15715802
14,77,56,-41.46031061
42,38,44,1.912490526
50,33,15,2.706840967
55,91,4,-0.8747148113
72,43,76,17.0136671
74,79,88,-2.498792697
17,43,23,-9.269449287
73,8,91,87.38119145
41,34,64,5.203516139
89,97,63,-2.35504884
37,39,51,-1.166007031
91,22,36,22.19827361
84,91,17,-0.5909558064
19,77,95,-57.7350268
55,74,91,-11.72708175
42,17,17,6.677606273
36,48,16,-1.999019786
35,56,30,-6.12359948
5,68,6,-6.80123345
27,7,95,55.69524379
4,50,2,-2.193820026
2,84,91,-147.7156854
72,56,75,8.185835207
29,70,99,-37.88730417
40,54,3,-0.3910013055
63,43,87,14.43087217
25,50,89,-26.79166961
87,100,92,-5.564228759
70,24,74,34.40162307
75,23,83,42.60667447
90,63,49,7.590196039
3,32,94,-96.63470002
27,11,30,11.69913237
65,95,26,-4.285066465
85,36,47,17.53647197
81,21,80,46.90125793
39,73,36,-9.801297111
10,11,90,-3.725341664
35,24,58,9.503694553
98,48,74,22.93887804
86,59,51,8.34596842
93,41,39,13.87226458
66,16,25,15.38559882
74,37,54,16.25561977
75,86,18,-1.069869381
35,25,13,1.899664464
26,67,63,-25.89939165
40,70,41,-9.964559996
19,70,5,-2.831722195
37,37,43,0
18,56,70,-34.50408653
56,92,10,-2.155998003
83,11,36,31.59667466
61,66,81,-2.771342143
64,94,73,-12.18719521
17,43,61,-24.58419159
72,74,60,-0.713953398
61,49,61,5.803159054
63,35,23,5.871267617
76,3,6,8.422154025
34,25,29,3.872628343
39,92,58,-21.61794678
49,79,90,-18.66879101
68,68,1,0
70,57,96,8.565425697
36,43,98,-7.562263572
1,79,1,-1.897627091
66,51,13,1.455658873
48,56,52,-3.481233061
87,23,70,40.44539916
17,100,5,-3.847755393
12,98,45,-41.04201733
28,33,87,-6.207964043
47,5,54,52.54890409
1,27,59,-84.45046209
62,53,57,3.882601734
39,74,65,-18.08086233
100,35,99,45.13726361
88,44,47,14.1484098
59,47,14,1.382558152
50,49,56,0.4913397612
70,21,44,23.00666479
83,64,10,1.128981184
95,87,70,2.674304687
24,28,32,-2.142297268
27,90,25,-13.07196863
48,38,48,4.869966756
67,17,23,13.69939527
45,91,20,-6.116577571
39,78,22,-6.622659905
46,4,16,16.97116545
13,97,28,-24.43919469
60,91,43,-7.778276103
63,78,40,-3.710162129
26,17,91,16.79172282
35,67,51,-14.38234468
14,80,42,-31.79240196
56,69,37,-3.354459358
84,34,83,32.60243063
49,20,21,8.172487772
57,32,97,24.3203131
19,68,56,-31.01029746
36,13,55,24.32975317
56,82,7,-1.159380778
100,75,72,8.995589036
10,18,59,-15.0610778
98,20,33,22.77647064
63,90,91,-14.09607836
82,47,23,5.559467872
42,84,72,-21.67415969
75,27,53,23.51596746
53,17,9,4.444442534
96,38,20,8.049752728
2,51,58,-81.57933047
1,51,38,-64.88766669
3,22,44,-38.07326275
56,93,34,-7.490027333
5,61,83,-90.16786595
23,33,62,-9.720738439
90,22,21,12.8482164
42,19,12,4.133948273
13,76,24,-18.40488576
59,78,18,-2.182366639
72,84,1,-0.06694678963
2,26,21,-23.3928104
97,53,48,12.5998015
76,3,59,82.81784792
22,75,14,-7.456940156
87,61,25,3.85473544
33,61,59,-15.74213781
44,61,61,-8.65450667
3,7,62,-22.81456069
100,28,52,28.74778237
80,77,33,0.54777564
96,78,28,2.52494565
22,80,31,-17.38068649
68,47,73,11.710007
54,16,73,38.56398573
56,35,9,1.837079844
66,88,86,-10.74473135
53,74,18,-2.609205302
84,38,15,5.167435342
77,4,5,6.422153669
13,97,94,-82.0458679
40,16,29,11.54026025
7,10,81,-12.54705876
65,66,4,-0.0265223156
66,81,22,-1.956703833
80,84,53,-1.123032851
63,65,13,-0.1764464935
59,12,56,38.73356287
72,31,66,24.15407297
67,47,81,12.47213253
69,95,72,-9.998965048
76,48,16,3.193157678
8,99,32,-34.96144664
81,47,11,2.60025877
42,30,54,7.890913927
22,18,31,2.701655447
6,79,61,-68.2880263
51,76,56,-9.701631306
85,1,88,169.7888655
11,65,79,-60.95013305
31,61,2,-0.5879362824
37,16,77,28.03429409
12,61,26,-18.35986331
63,71,26,-1.349862781
5,7,74,-10.81347464
58,82,74,-11.12855355
85,42,62,18.98251739
65,23,99,44.66736654
44,42,23,0.46467788
50,22,54,19.25355547
61,59,66,0.9555363423
24,64,37,-15.76084309
21,43,56,-17.42995301
71,81,4,-0.2289066806
83,32,71,29.3888961
74,18,29,17.80481722
10,43,93,-58.91256637
35,38,48,-1.714346509
52,68,59,-6.873828575
29,95,9,-4.637930467
33,59,71,-17.9160031
84,96,42,-2.435661773
90,100,19,-0.8693923207
26,6,24,15.28373034
70,66,75,1.916557835
5,6,38,-3.00888735
78,73,83,2.388054633
52,52,96,0
94,6,7,8.364836223
98,1,22,43.80697367
78,79,67,-0.3706767362
64,81,97,-9.923589355
90,56,4,0.8242179297
30,1,4,5.908485019
60,29,6,1.894519515
13,37,97,-44.06306206
73,30,21,8.110233713
11,55,46,-32.1526202
78,69,49,2.609030086
90,79,67,3.793233016
81,68,30,2.279283185
52,95,66,-17.27353727
62,25,19,7.494581936
92,65,23,3.470112826
33,63,51,-14.32215709
91,71,83,8.945992619
1,22,57,-76.51809281
72,68,59,1.46459144
34,50,47,-7.872081103
80,52,29,5.425512657
53,53,72,0
80,12,14,11.53472237
17,79,11,-7.338959869
79,88,69,-3.233035079
8,8,88,0
86,94,89,-3.43801681
42,64,40,-7.317227343
10,48,65,-44.28068043
22,37,36,-8.128045557
36,84,28,-10.30334999
18,57,68,-34.04095984
71,44,23,4.779530461
79,35,74,26.16336947
72,79,64,-2.578854071
34,76,43,-15.02139104
41,24,58,13.48921167
35,28,13,1.259830169
11,29,36,-15.15619126
71,95,56,-7.082054368
59,63,44,-1.253495664
40,46,41,-2.488611454
76,11,54,45.32872898
29,87,7,-3.339848783
73,99,95,-12.56967178
100,83,67,5.421767811
36,33,27,1.020291144
85,61,78,11.23894907
46,6,70,61.92246069
69,21,82,42.36364327
1,55,40,-69.61450758
67,1,5,9.130374014
12,99,94,-86.14667116
51,79,49,-9.312788844
19,54,95,-43.09581509
100,74,1,0.1307682803
57,52,5,0.1993575602
79,45,14,3.421804085
99,82,30,2.454640266
8,34,26,-16.33811218
35,88,87,-34.83607262
100,32,37,18.3094508
80,85,50,-1.316446936
49,53,50,-1.703989479
12,6,39,11.74016983
38,25,78,14.18379986
75,1,3,5.62518379
90,14,47,37.98138027
61,3,97,126.8962323
96,20,16,10.8998598
9,66,1,-0.8653014261
42,87,52,-16.44603804
31,44,29,-4.410638497
99,72,93,12.86215093
75,28,24,10.26967757
77,38,70,21.469499
45,32,88,13.02950312
95,25,57,33.04766501
49,70,83,-12.85686268
19,97,77,-54.51739627
90,57,18,3.570617768
33,76,61,-22.1002788
94,36,30,12.50476058
53,68,68,-7.359846931
2,79,80,-127.7277677
33,56,98,-22.50806054
28,40,33,-5.11176468
30,3,1,1
53,43,93,8.445089504
82,31,14,5.91433022
17,69,100,-60.84001694
42,97,82,-29.8088404
10,12,36,-2.850524858
60,8,6,5.25036758
86,51,28,6.353991704
43,16,60,25.76090838
34,53,21,-4.048736004
98,14,16,13.52156864
77,13,37,28.5842528
48,9,60,43.61992368
56,89,83,-16.69976431
64,70,87,-3.385871745
77,21,60,33.85628583
80,14,88,66.61265172
80,10,17,15.35252978
20,94,82,-55.11202435
4,51,37,-40.90387684
61,14,19,12.14483419
27,3,26,24.81030525
99,90,81,3.352807498
45,4,92,96.70603207
46,80,56,-13.4586007
70,43,30,6.348887533
90,47,75,21.16084886
84,59,24,3.682254586
62,43,94,14.93878399
56,92,48,-10.34879042
10,60,32,-24.90084001
3,25,26,-23.9412876
89,3,48,70.66890009
74,96,37,-4.182461992
48,96,81,-24.38342965
66,12,68,50.34466289
21,8,88,36.88337908
76,10,24,21.13952621
93,72,54,6.002124415
56,58,82,-1.249677258
6,73,42,-45.57720761
16,31,4,-1.148966845
27,92,90,-47.91816569
73,93,24,-2.523842122
86,95,32,-1.383204929
43,52,77,-6.35518638
51,69,11,-1.444068061
53,34,62,11.95341106
99,20,97,67.3767043
33,13,48,19.4193882
38,30,23,2.361233864
22,57,52,-21.49951309
87,26,41,21.50638209
30,67,67,-23.37988771
34,89,80,-33.43288717
66,50,50,6.02869656
18,84,38,-25.42225768
29,43,85,-14.5409889
40,40,80,0
40,60,11,-1.93700385
18,1,7,8.786907536
3,29,88,-86.7043534
64,60,88,2.466527677
17,16,72,1.895683588
74,5,10,11.70261715
65,1,86,155.9105487
10,7,5,0.7745097999
39,72,34,-9.05310824
70,29,66,25.25820278
31,24,3,0.3334513564
91,25,13,7.294317987
5,36,26,-22.29064491
92,77,43,3.323775393
28,95,53,-28.11997542
69,14,95,65.80850023
96,39,26,10.17137228
17,88,37,-26.41924878
93,89,55,1.050111805
27,80,7,-3.30208356
19,41,34,-11.3570287
37,11,30,15.80427117
75,30,82,32.63108071
25,13,95,26.97968235
37,39,43,-0.9831039673
85,85,26,0
80,99,28,-2.591265813
57,52,83,3.309335499
16,8,4,1.204119983
43,83,37,-10.56755656
49,47,96,1.737429321
47,52,49,-2.151368799
27,78,51,-23.49727277
62,98,14,-2.783681407
10,100,49,-49
23,77,60,-31.48577335
10,22,80,-27.39381447
20,80,71,-42.74625938
1,100,46,-92
78,33,19,7.098032593
15,97,63,-51.07286994
20,27,9,-1.173003916
98,29,54,28.5567162
26,26,75,0
14,81,29,-22.10835251
17,66,93,-54.78583632
76,60,24,2.463896206
35,70,72,-21.67415969
89,97,3,-0.1121451829
57,88,10,-1.886078165
52,58,55,-2.608355746
2,3,90,-15.84821332
3,44,96,-111.9678165
79,18,52,33.40243848
50,75,29,-5.106646513
79,70,98,5.147847025
33,100,55,-26.48173331
88,20,14,9.008337471
95,77,82,7.48109617
54,13,66,40.8177269
16,77,21,-14.32978559
7,21,55,-26.24166901
4,22,87,-64.41155399
43,61,32,-4.859564142
92,9,83,83.79226139
36,85,68,-25.3719169
17,80,98,-65.91882443
55,66,75,-5.938593454
5,31,96,-76.06960219
23,17,28,3.67580961
99,16,12,9.498182543
39,32,65,5.584450866
100,22,47,30.906134
3,98,47,-71.16292659
16,37,99,-36.0440924
52,79,70,-12.71366234
93,80,9,0.5885366541
3,39,23,-25.6206971
75,90,55,-4.354968533
4,73,78,-98.37850377
9,24,32,-13.63099943
24,9,12,5.111624787
94,42,43,15.04477822
36,74,45,-14.08181485
5,91,13,-16.38092804
4,83,54,-71.11897746
85,42,84,25.71824937
35,16,40,13.59792247
29,61,74,-23.89695595
31,9,67,35.98698535
92,100,84,-3.041822503
57,1,39,68.47911937
91,96,98,-2.27652439
33,1,8,12.14811152
48,4,92,99.28467464
38,20,46,12.82266564
79,66,54,4.21649041
89,53,37,8.329223071
99,78,1,0.1035405919
97,24,79,47.91827891
45,5,68,64.88849064
15,11,32,4.310354365
63,1,28,50.38153538
87,56,90,17.21981031
94,91,90,1.267781515
66,20,26,13.48136244
65,20,38,19.45156772
38,47,65,-6.000426986
82,69,45,3.373414274
45,54,97,-7.680580867
44,2,86,115.4483506
58,75,93,-10.38189409
42,67,43,-8.721497029
57,36,21,4.191019453
95,27,9,4.91723857
77,82,33,-0.901663198
52,89,59,-13.76981312
62,61,6,0.04237112692
51,62,8,-0.6785721072
6,75,39,-42.77949051
54,5,25,25.83559389
82,45,66,17.19968835
21,32,20,-3.658613672
82,72,53,2.993511865
77,15,80,56.83195729
65,97,77,-13.38709508
22,20,88,3.642556294
73,92,90,-9.04184705
59,83,72,-10.67227781
13,3,13,8.278687269
58,37,25,4.880656737
96,18,54,39.25793131
56,4,23,26.36094482
41,88,35,-11.60945854
47,12,70,41.50416283
67,90,68,-8.715404058
82,15,19,14.01672927
9,24,16,-6.815499716
2,73,12,-18.74751437
15,91,81,-63.41896079
70,10,17,14.36666668
8,61,79,-69.69694799
31,93,95,-45.3265192
37,13,43,19.53310999
61,77,92,-9.306801895
64,7,47,45.1708509
33,16,84,26.40909241
15,16,19,-0.5325457484
69,39,18,4.460120707
75,61,15,1.345971426
34,90,24,-10.14632622
42,32,59,6.967859413
56,39,97,15.24097174
90,22,32,19.57823452
18,64,84,-46.27622739
99,58,38,8.823873639
50,86,20,-4.710568938
66,98,78,-13.39120693
92,30,46,22.38666234
85,3,78,113.2792183
94,32,88,41.18205302
98,34,33,15.17165624
31,52,76,-17.07276538
86,49,61,14.90244464
41,36,80,4.518508476
75,51,75,12.56183155
48,9,59,42.89292495
58,12,39,26.68562315
57,45,23,2.361233864
53,92,47,-11.25706201
38,82,91,-30.39675327
64,32,47,14.1484098
37,97,67,-28.04419068
40,54,14,-1.824672759
57,2,65,94.5649159
23,72,50,-24.78023302
91,33,50,22.02637262
93,14,71,58.38719881
14,63,85,-55.52306367
76,31,26,10.12574936
85,98,1,-0.06180714998
55,100,25,-6.490932763
43,24,33,8.357488058
24,4,63,49.02352877
30,84,92,-41.13853888
68,45,68,12.19215513
88,4,75,100.6817011
22,44,63,-18.96488973
89,79,51,2.639908683
56,68,66,-5.565178456
3,97,10,-15.0965048
3,20,11,-9.06299615
27,69,99,-40.34104733
23,67,39,-18.1095317
29,24,51,4.191524566
84,28,7,3.339848783
87,30,80,36.99183983
59,53,80,3.726091363
17,84,92,-63.83239355
71,76,88,-2.600861433
54,75,9,-1.284007532
26,87,68,-35.66912152
24,34,87,-13.16028775
11,43,66,-39.07700085
31,86,92,-40.76858168
20,43,46,-15.29216916
92,89,77,1.108632194
47,75,10,-2.029634055
15,8,24,6.55203053
26,39,11,-1.93700385
21,29,86,-12.05536847
24,47,16,-4.67018586
61,67,94,-3.830026963
59,87,32,-5.397351711
35,36,68,-0.8319430364
72,36,99,29.80196957
70,88,96,-9.540924685
91,68,37,4.681701746
11,99,25,-23.85606274
24,65,19,-8.221340184
57,24,86,32.3070708
63,42,55,9.685019248
70,79,1,-0.05252905128
67,54,55,5.152457358
84,1,80,153.9423429
57,81,48,-7.325287834
100,24,20,12.39577517
12,86,33,-28.22546777
11,34,44,-21.5637942
58,89,100,-18.59620131
7,7,5,0
73,25,28,13.03071984
23,69,92,-43.89515543
82,95,28,-1.789473081
77,41,90,24.63361816
63,57,22,0.9562452632
56,49,56,3.247549031
22,63,49,-22.38897556
45,41,23,0.9298591123
20,6,94,49.15060206
90,46,95,27.69104439
3,6,11,-3.311329952
88,72,5,0.4357508786
4,65,91,-110.1876562
34,97,24,-10.92702761
62,34,27,7.044644856
72,38,62,17.20803179
90,27,6,3.137272472
56,67,80,-6.230942056
25,56,54,-18.91339299
75,67,50,2.449323035
83,37,33,11.57892015
6,80,49,-55.12199809
6,35,70,-53.61417558
82,49,43,9.615564211
72,93,65,-7.224779388
17,88,36,-25.70521503
95,90,58,1.361903559
16,97,34,-26.61015955
48,7,36,30.10115511
21,38,58,-14.93872951
56,19,60,28.16606556
32,3,52,53.45749363
39,26,29,5.106646513
21,9,5,1.839883926
38,7,87,63.91764342
18,96,32,-23.26395929
59,10,92,70.91838507
97,57,31,7.157803236
8,97,91,-98.615039
93,4,47,64.22187899
90,44,71,22.06607814
4,75,86,-109.4781094
67,62,57,1.919937453
5,52,31,-31.52803352
93,14,25,20.55887282
3,29,61,-60.10188133
55,89,66,-13.79580293
94,69,47,6.311101855
21,75,45,-24.87788859
49,68,23,-3.273195152
81,73,7,0.3161351113
27,69,20,-8.149706532
43,7,99,78.04867114
16,27,26,-5.908338319
98,88,21,0.9816114744
41,40,17,0.1823057117
40,50,15,-1.453650195
65,57,83,4.734195581
20,28,78,-11.39798678
89,77,53,3.333661918
97,82,3,0.2188736456
4,25,76,-60.48688132
